Numero objet,global,energie depense recep,energie depense trans,Tour de Diffusion
1,global,6,2,0
2,global,3,1,2
3,global,3,1,0
----------------------------end---------------------------- 
4,global,3,1,0
Numero objet,global,energie depense recep,energie depense trans,Tour de Diffusion
1,global,6,2,0
2,global,6,2,2
3,global,6,2,2
----------------------------end---------------------------- 
4,global,6,2,2
Numero objet,global,energie depense recep,energie depense trans,Tour de Diffusion
1,global,6,2,2
2,global,6,2,2
3,global,6,2,2
----------------------------end---------------------------- 
4,global,6,2,2
